"Name","Coin 1","Coin 2","Digit to round","Min Price","Max Price","Price Increment","Amount Format in Market data book","Default Min Order Amount","Default Max Order Amount","Amount Increment"
LUNA2/EUR,LUNA2,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
LUNA2/USD,LUNA2,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
MANA/EUR,MANA,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
MANA/USD,MANA,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
MKR/EUR,MKR,EUR,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
MKR/USD,MKR,USD,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
MOC1/MOC2,MOC1,MOC2,#.00,0.00000001,9.99999999,1.0,#####.000,0.001,99999.99999999,0.001
OGN/EUR,OGN,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
OGN/USD,OGN,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
OXT/EUR,OXT,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
OXT/USD,OXT,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
POL/EUR,POL,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
POL/USD,POL,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
POL/USDC,POL,USDC,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
POL/USDT,POL,USDT,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
QNT/EUR,QNT,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
QNT/USD,QNT,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
REN/EUR,REN,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
REN/USD,REN,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
SAND/EUR,SAND,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
SAND/USD,SAND,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
SGB/EUR,SGB,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
SGB/USD,SGB,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
SHIB/EUR,SHIB,EUR,#.00000000,0.0000001,0.0009,0.000000001,#.,1000000.0,90000000000,100000.0
SHIB/USD,SHIB,USD,#.00000000,0.0000001,0.0009,0.000000001,#.,1000000.0,90000000000,100000.0
SHIB/USDC,SHIB,USDC,#.00000000,0.0000001,0.0009,0.000000001,#.,1000000.0,90000000000,100000.0
SHIB/USDT,SHIB,USDT,#.000000000,0.0000001,0.0009,0.000000001,#.,1000000.0,90000000000,100000.0
SKL/EUR,SKL,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
SKL/USD,SKL,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
SNX/EUR,SNX,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
SNX/USD,SNX,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
SOL/EUR,SOL,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
SOL/USD,SOL,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
SOL/USDC,SOL,USDC,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
SOL/USDT,SOL,USDT,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
SRM/EUR,SRM,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
SRM/USD,SRM,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
STORJ/EUR,STORJ,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
STORJ/USD,STORJ,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
SUSHI/EUR,SUSHI,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
SUSHI/USD,SUSHI,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
TRX/EUR,TRX,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
TRX/USD,TRX,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
UMA/EUR,UMA,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
UMA/USD,UMA,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
UNI/EUR,UNI,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
UNI/USD,UNI,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
USDC/EUR,USDC,EUR,#.000000,0.1,9.0,0.00001,#.00,1.0,99000000,1.0
USDC/USD,USDC,USD,#.000000,0.1,9.0,0.00001,#.00,1.0,99000000,1.0
USDC/USDT,USDC,USDT,#.000000,0.1,9.0,0.00001,#.0,1.0,50000000,1.0
USDT/EUR,USDT,EUR,#.000000,0.1,9.0,0.00001,#.,1.0,99000000,1.0
USDT/USD,USDT,USD,#.000000,0.1,9.0,0.00001,#.,1.0,99000000,1.0
